,c.dogalize,c.android.youtube,c.katana,c.android.gm,c.android.chrome
121,11.33955,10.32073,13.72957,7.85242,12.1722
122,11.14076,16.20996,12.02551,17.56987,11.46389
123,12.63997,11.90112,10.7638,12.02688,12.4601
124,14.81705,15.93113,12.06589,13.57418,13.96946
125,9.60378,11.22552,8.21502,17.68662,14.59559
126,12.11265,15.39031,13.70127,8.802,7.98139
127,15.29808,14.26959,8.48896,8.09404,12.15092
128,14.64894,11.27192,10.0636,13.51006,10.87657
129,9.67972,15.43087,15.4319,9.1886,15.86357
130,11.21376,14.74211,13.27097,12.67678,14.13454
131,15.06512,13.5045,13.97094,12.37993,14.96935
132,10.67383,14.81798,10.72774,14.98302,11.78213
133,8.60545,15.38423,14.31889,14.50692,15.54598
134,13.07212,7.651,12.21359,9.83171,11.64667
135,12.95733,14.07847,12.50427,12.01115,14.00893
136,8.67667,15.86359,16.11963,11.67663,9.52724
137,15.48826,10.50037,10.5699,12.91135,12.58493
138,17.2946,10.33179,9.9754,11.88647,9.38341
139,15.39542,10.32781,11.16152,10.48267,10.11362
140,7.61254,17.39764,14.58105,14.03319,8.96929
141,14.23321,12.94399,11.09094,8.5249,13.29824
142,15.24203,8.24968,12.44436,11.88715,9.81923
143,15.78599,10.64832,9.4599,13.32707,9.7211
144,11.15655,11.1875,12.5077,14.31557,14.36579
145,15.90876,14.13085,13.33647,7.71389,11.4595
146,14.2168,11.12244,10.7504,13.67099,12.6309
147,10.55784,19.37243,12.64342,15.7081,8.34634
148,13.80513,9.26664,8.65662,13.58085,9.4166
149,17.79036,7.78475,12.16865,10.19259,7.60565
150,9.54908,13.18927,12.59168,11.40909,7.96591
151,11.191,15.83124,11.46369,15.15808,10.51531
152,15.06008,14.92358,11.94406,7.63913,10.90308
153,8.70998,13.39073,13.00821,13.47617,9.02624
154,12.79094,16.71623,10.70569,14.09514,11.95933
155,10.21833,14.59803,12.71624,14.61613,15.52978
156,12.4698,15.95529,13.78222,16.00369,11.44182
157,11.59523,16.47099,10.21792,11.21222,10.51763
158,13.04984,15.13235,8.76454,12.79923,11.25991
159,9.81146,18.08243,17.4582,12.06058,11.9811
160,12.66711,10.98483,14.13589,11.53584,14.07861
161,9.91347,16.0669,16.27028,14.10262,13.7812
162,11.58252,14.96589,12.48717,12.61974,11.37125
163,11.94122,15.20212,10.90437,14.51072,11.63383
164,14.68384,10.83934,11.2737,7.43791,10.28469
165,13.87338,9.15232,11.06137,9.89262,9.56449
166,15.14983,7.3799,14.54584,12.67546,12.32205
167,9.70273,15.18924,12.83523,11.38478,7.45583
168,16.50818,13.2266,7.61229,9.6779,10.08655
169,10.51091,12.63034,12.26294,10.63509,14.01906
170,15.2433,11.87053,11.50166,13.37231,11.69574
171,9.98121,15.30363,13.34283,12.3772,9.20627
172,15.53024,13.2294,10.25433,7.53751,12.76059
173,10.73986,13.35538,10.65432,18.63158,11.2402
174,10.63269,10.27986,11.34285,12.1674,11.80072
175,9.9902,10.83722,14.93174,11.20888,13.14145
176,7.84055,13.02923,9.94556,14.44561,11.56731
177,8.26668,15.53465,10.03721,12.23176,14.31272
178,11.92257,9.91255,10.43365,11.2809,11.90605
179,14.27922,15.61792,11.38779,13.67006,11.9575
180,12.68124,9.90648,11.89877,7.12875,13.09772
181,12.90453,9.44376,10.77314,10.57689,10.05912
182,12.60658,10.35131,15.051,11.78119,15.11583
183,12.59849,10.96329,10.49769,10.55828,11.84429
184,11.46788,15.36931,9.87855,16.43977,7.89849
185,15.47744,11.31773,9.80134,13.11544,11.24803
186,13.89547,11.93663,9.77927,7.71521,12.19069
187,14.52318,10.8479,12.61109,10.27091,12.5657
188,10.37627,10.97548,14.13934,11.95921,14.72511
189,13.40072,11.63091,13.63826,8.71672,9.59849
190,9.19888,14.21106,9.77702,18.23888,12.33409
191,15.01814,8.81972,11.88664,9.02824,10.90769
192,11.61519,11.48848,13.66433,8.95722,11.45228
193,9.35228,12.97188,15.57326,10.15108,11.6102
194,9.02663,13.10092,10.82267,12.88475,13.57602
195,17.0204,14.02108,11.5798,13.17099,12.52589
196,9.24308,12.88873,11.66979,14.59419,10.55529
197,16.64481,6.49214,14.91841,8.47941,7.97844
198,10.23927,14.51734,11.36261,13.94055,8.28027
199,11.54032,6.92684,13.57881,9.69244,13.08139
200,12.24998,13.2036,9.73496,12.11783,13.44225
201,12.81423,16.90159,10.25401,12.76788,6.24999
202,12.24494,11.91111,15.98227,6.91996,17.28114
203,11.44657,7.35556,14.17714,11.68655,12.88902
204,8.19423,12.64924,10.61475,9.68825,12.04358
205,14.35561,11.18568,10.48113,11.41327,8.98906
206,12.49663,9.92476,10.19079,11.48502,10.31078
207,7.67909,14.50564,14.63895,13.19891,15.82612
208,15.09782,12.98885,11.3188,14.22485,11.15099
209,10.16846,12.52712,12.69533,17.37245,11.61945
210,13.43022,12.25721,9.48205,9.91026,14.89523
211,15.55778,12.21325,9.85027,10.47024,10.29814
212,12.21408,13.25819,15.13909,11.11648,14.02115
213,8.39829,16.65456,15.54672,12.19251,8.38492
214,9.56038,11.2031,12.71372,12.35157,16.76337
215,12.08354,12.03872,15.19495,8.25382,15.10794
216,9.28334,9.6611,14.74339,13.2258,13.58179
217,11.57421,12.92836,9.46425,14.93977,13.79428
218,10.01269,14.71997,15.4226,12.28606,9.64321
219,9.7055,14.56522,12.40091,13.13377,8.1531
220,13.6716,9.01206,9.83187,8.66429,10.61311
221,12.92612,10.99247,10.17892,10.01536,10.13986
222,8.46484,13.41192,10.82131,13.20825,8.53014
223,15.49864,10.80679,9.97566,12.87611,9.83982
224,13.20973,14.6484,10.89234,14.79131,11.60441
225,8.99647,15.20813,12.84079,11.76586,7.5182
226,12.60984,11.80379,11.07034,9.48923,12.27186
227,9.60705,18.57531,11.43721,13.29144,8.19426
228,8.23138,11.45831,14.18542,12.7806,13.76951
229,15.06061,11.90107,9.4897,11.06822,10.70446
230,15.51778,8.96438,11.96481,12.41763,10.15462
231,13.0754,10.9225,11.96162,11.13995,12.14574
232,12.64003,11.97031,17.14348,8.30287,15.9362
233,12.4576,14.34165,10.92341,15.22399,12.37818
234,12.26984,15.6603,11.85093,16.58912,7.67688
235,11.37424,13.96261,12.6435,17.29391,5.43336
236,13.29141,10.82456,10.11282,11.01348,11.25272
237,13.62437,14.95776,12.82856,11.12576,10.95069
238,12.10663,16.49183,13.12648,13.39969,7.54295
239,11.77576,15.3185,13.09462,8.31161,10.70971
240,8.22223,12.09981,9.00366,10.33954,11.04754
241,7.14026,16.89809,17.2993,6.12362,6.61734
242,12.58355,14.95241,15.24096,11.03427,14.3526
243,17.80564,13.10727,9.96702,12.02142,10.4073
244,12.29308,9.46157,14.20659,9.75191,14.95315
245,14.97472,11.27989,10.45042,10.05357,13.29778
246,11.0135,13.62018,11.16054,12.18088,9.28376
247,8.85507,12.44717,10.12191,13.53746,13.26651
248,14.53889,12.38643,10.80711,14.24561,11.4187
249,12.37884,9.52826,15.86741,9.30416,9.43168
250,10.83059,9.2655,10.4421,17.90507,14.54011
251,14.05768,8.37906,12.85754,7.93309,9.61068
252,11.24417,13.23408,7.73289,11.20477,13.74108
253,9.35348,13.91342,14.35894,11.99858,9.81642
254,7.25168,11.81616,15.77282,12.16904,15.24792
255,13.26988,18.88126,10.4026,13.20836,11.40072
256,12.90601,12.24836,10.14648,11.24451,12.16541
257,15.8296,12.64226,13.0731,7.10682,10.68033
258,10.1814,13.50156,15.83641,9.70522,12.26146
259,12.54237,12.87531,13.16462,14.49071,13.15702
260,9.83593,10.06654,12.67847,11.6882,10.92589
261,13.22119,15.58458,14.65057,6.72486,12.47522
262,13.02592,9.89787,13.24582,12.64178,11.65615
263,10.81492,9.84915,13.71878,11.21727,13.53253
264,10.33076,15.66067,17.81499,8.90257,11.7517
265,12.25322,10.92253,14.16992,11.60348,14.00383
266,7.47348,7.39622,15.74174,7.58962,13.17624
267,11.79759,11.05614,14.72674,11.17788,14.9538
268,9.5485,16.54285,13.48981,11.39458,9.87393
269,16.39935,9.81671,10.29814,8.65941,12.28834
270,14.36921,11.72222,11.20886,10.78629,11.65588
271,14.94388,10.8056,10.70131,10.95824,12.96772
272,12.38871,8.45093,12.16228,9.48604,9.30048
273,11.70312,14.92782,12.92871,15.43464,12.61034
274,10.44436,15.34064,13.56051,12.44274,12.3125
275,11.03538,12.47513,9.26906,9.37697,12.36564
276,8.97125,12.36048,14.26623,10.85334,14.54651
277,11.64685,13.95608,12.31336,13.38569,10.04971
278,15.15679,7.82105,12.41362,9.63762,12.12103
279,14.88314,11.40424,12.13767,15.86313,10.89434
280,15.45904,13.56397,14.00051,8.82257,10.14169
281,13.27066,14.6922,9.01665,11.24732,9.41375
282,12.8438,9.43102,11.11968,10.38981,10.76546
283,11.75408,17.03295,13.08467,9.12762,9.27768
284,11.50127,12.86283,8.60899,11.58494,11.47066
285,13.6627,7.66581,14.332,11.49828,9.6383
286,13.17925,13.31754,12.42929,7.52916,7.98968
287,10.9372,16.69689,13.92653,15.27437,4.94898
288,10.02134,15.70664,11.58356,13.46748,10.51934
289,10.34375,16.16839,10.00036,16.55314,10.05219
290,9.99709,13.9138,12.66436,10.87236,10.50514
291,11.60084,11.47772,9.32098,11.78575,11.15933
292,15.53375,11.21954,9.71779,14.06087,10.38733
293,8.7943,12.05819,16.90178,9.59967,9.06696
294,8.94552,17.28404,10.6514,13.11374,10.55814
295,8.5042,13.98716,14.60888,9.83062,13.93282
296,10.75792,10.96513,12.71559,13.17252,9.5222
297,11.7166,11.33464,9.8728,7.4309,10.04776
298,10.72185,13.35939,18.58735,10.65936,5.96245
299,12.38461,9.52523,11.68936,9.50059,12.47358
300,11.819,13.81946,10.71694,17.37493,15.47012
301,16.13019,7.6975,11.1486,7.28703,8.80308
302,9.72308,17.4794,11.23074,16.66681,9.82974
303,13.73398,7.04488,11.67819,11.41149,8.2715
304,14.05461,15.24722,9.68235,13.45587,12.52727
305,11.61996,15.24529,16.95264,12.79358,14.58847
306,10.30604,9.72184,15.32637,9.54324,14.9335
307,11.15192,11.0736,13.57395,11.77561,14.32946
308,10.94935,14.03667,9.40487,15.43059,15.82186
309,13.04054,13.57913,11.81615,17.7972,10.82763
310,6.39296,14.77656,16.00912,8.74458,4.50225
311,16.20088,10.41478,14.0118,12.95661,12.44435
312,14.20834,10.98764,9.60157,11.34862,11.81466
313,15.97951,9.70925,11.5088,8.06407,9.16218
314,12.05062,13.92588,13.27948,16.84866,8.30692
315,15.49669,12.20924,14.46965,16.70775,9.13576
316,11.1953,12.91478,15.72838,11.8506,14.5962
317,14.47107,13.2295,11.31236,11.44199,12.70932
318,12.07114,14.21742,10.88513,11.78839,10.88112
319,11.06986,14.18832,12.45159,14.97137,10.06334
320,13.86846,11.81348,10.82005,12.12164,10.39839
321,11.14893,14.39569,10.02373,14.38298,10.27211
322,17.01946,8.77896,13.69622,8.08158,9.07136
323,9.12269,15.50196,15.7034,11.69501,11.41383
324,14.0331,14.30953,11.29776,15.13087,9.03175
325,16.45982,13.6736,13.27515,13.07417,11.46985
326,11.98295,11.32766,15.17205,6.50989,14.27083
327,13.30127,12.85461,13.73025,13.44346,12.12505
328,10.23739,10.74394,14.85265,7.63644,13.6002
329,8.07729,15.13768,15.96137,13.0305,11.2419
330,12.01623,15.98672,12.54117,17.34064,9.47103
331,16.90885,7.82365,9.95532,7.67313,9.44183
332,14.34239,11.49334,8.85018,11.41832,12.8554
333,9.51193,15.17984,9.13762,13.60723,11.15496
334,9.7568,15.65519,17.3389,12.43373,6.25246
335,13.88959,14.83039,10.75806,12.65239,9.17454
336,12.00536,11.51585,16.25274,7.69201,7.85172
337,14.84771,9.66801,12.7886,10.138,10.97467
338,12.04074,9.38143,9.85888,11.60886,9.24207
339,12.32208,9.79983,10.65678,12.28481,11.60793
340,12.17322,11.66384,11.24069,13.01294,11.48699
341,8.97739,16.08829,15.35943,8.21688,9.2555
342,12.25585,9.75324,14.55967,7.97273,13.5532
343,7.75748,14.83319,11.89333,15.041,10.06737
344,11.49189,15.14909,11.54256,16.2761,11.94729
345,9.22821,14.40609,11.49415,11.30135,7.37531
346,12.36011,13.802,12.20227,13.83092,8.42793
347,9.87086,13.45748,11.40585,15.39838,10.3826
348,10.88227,13.54948,15.76895,7.9345,16.20997
349,11.15927,14.4742,16.11506,8.13607,11.517
350,11.46008,9.01071,10.20833,18.36494,15.38409
351,11.22301,13.32739,15.40685,8.82511,9.45261
352,10.58643,15.73046,13.44055,8.30757,8.70825
353,14.92912,11.0813,8.28353,11.39507,11.52145
354,19.38164,9.2869,11.19093,9.50813,6.40501
355,10.87031,11.09272,15.61079,10.80299,15.42385
356,15.43143,8.31563,13.86911,11.49847,8.45527
357,14.7128,10.21003,12.30382,9.57214,8.61049
358,16.92128,10.50987,9.53618,10.21379,8.25601
359,14.9568,5.01576,12.59676,7.3982,8.45685
360,10.54395,14.08795,8.45389,12.73163,12.58296
361,4.7278,12.49431,10.47796,13.04044,11.10789
362,8.29545,9.60291,9.97979,15.18632,13.4841
363,11.75852,14.51441,14.87293,10.62025,16.10564
364,14.62203,12.25465,11.34558,12.74661,12.18683
365,11.99762,11.0965,15.35896,13.1027,14.22304
366,9.81997,17.68011,9.95558,14.08334,11.10831
367,9.52682,17.1893,15.17087,12.27482,16.84165
368,15.93249,13.43058,10.99881,10.02414,12.89537
369,11.1583,11.88249,11.44339,11.31243,13.08529
370,11.19226,17.57611,10.80125,20.22076,11.90102
371,14.19387,10.52527,11.22149,9.92853,8.16189
372,16.28022,11.3689,7.66728,14.39103,11.65271
373,9.23969,13.18984,8.96009,15.92315,13.62458
374,11.59099,12.12678,15.17565,8.86553,8.45286
375,7.25461,14.21389,9.75754,20.51584,14.31386
376,15.0609,12.46403,11.76119,9.24331,12.4483
377,11.21707,15.6097,13.44384,13.4978,14.678
378,11.04955,10.9178,14.66184,8.71217,15.44075
379,10.9085,13.47315,12.93868,19.80477,10.41331
380,14.42095,10.47282,9.23117,13.09349,10.42221
381,9.23285,15.53044,11.45778,16.65325,10.83683
382,11.96483,15.30588,13.39121,11.62138,13.96802
383,15.64313,13.08866,9.88546,12.83186,12.76088
384,12.19499,15.34892,10.57931,14.03849,10.00645
385,9.9859,14.08508,8.26576,12.34194,13.14501
386,12.01078,16.49788,10.00749,10.86785,9.52017
387,13.20982,14.2794,11.6056,16.37115,11.30129
388,15.09806,6.72023,14.80871,8.52759,11.2527
389,11.14995,13.46507,15.56835,11.13903,11.70429
390,15.52407,9.45512,15.09142,13.58589,12.29046
391,10.48749,10.6157,13.32658,8.77671,14.15523
392,8.4218,15.50871,11.29332,13.73591,12.34064
393,9.32379,14.10534,10.34526,14.15294,10.45455
394,14.57679,12.29407,11.31866,7.53977,10.62218
395,12.25404,9.63686,14.0285,9.63311,10.24378
396,9.59084,11.3185,15.0916,11.91472,13.19797
397,13.96709,14.47997,10.76398,15.00977,11.76541
398,9.16773,13.84075,12.1815,16.70192,9.82844
399,12.67264,13.79805,15.98491,7.89234,7.80299
400,13.14182,10.34788,10.94724,13.69632,13.54825
401,11.48932,11.61246,10.92445,11.02248,10.66229
402,12.77506,13.20744,13.44375,7.74062,11.68332
403,9.15148,11.34506,12.81662,13.97694,10.1399
404,10.34514,13.26032,11.64155,12.44737,11.72293
405,10.17958,13.41844,16.4093,9.33504,16.2205
406,9.9983,14.64272,10.90421,18.21202,13.48695
407,15.04345,15.79537,12.20399,15.93579,9.54836
408,12.71382,12.85284,15.38582,10.39608,19.6914
409,9.74289,16.84629,17.8573,12.48992,12.91742
410,13.21391,9.66237,8.47546,13.8698,10.11786
411,11.64447,15.71208,16.28498,9.24339,10.68245
412,11.18119,12.28606,9.8925,15.49317,11.85316
413,10.45664,13.69014,9.94768,15.96935,9.63015
414,14.35506,6.70682,13.88227,12.30267,9.16977
415,15.20054,9.95826,8.75083,13.47225,11.20238
416,10.3279,10.60993,9.78484,11.67146,11.19631
417,8.22515,17.25892,18.42042,11.94715,13.78813
418,9.76346,13.41951,12.47154,12.2946,10.70024
419,8.32866,10.0878,14.39186,9.14794,15.15309
420,10.34018,12.83624,14.67044,13.23114,14.01202
421,9.99245,15.01337,14.89985,13.83439,6.38848
422,16.30332,10.04466,12.08892,11.23368,9.52982
423,13.70516,10.06499,8.02202,13.31635,11.64998
424,12.54036,17.06525,9.78999,11.453,12.70481
425,10.59425,15.10793,15.16825,11.88389,9.54732
426,14.9886,13.51509,13.47675,11.78098,12.6309
427,21.99737,13.47738,13.0567,8.71038,9.66763
428,14.12038,8.73489,11.76016,10.25407,11.13685
429,11.79518,15.32153,9.25794,11.56709,10.53716
430,11.77401,14.52724,8.77214,18.4271,14.16014
431,12.48363,10.57473,9.03573,7.77727,12.20836
432,7.63707,16.279,17.8254,11.89865,8.97185
433,17.02936,10.27235,12.67759,10.70715,9.6473
434,11.4143,14.57461,17.72193,7.87821,12.26137
435,10.18185,9.85681,13.28178,11.66337,12.62759
436,11.46224,13.82808,16.88162,8.60906,8.90425
437,10.54441,10.16193,17.09319,10.68703,15.59059
438,15.92737,10.64697,13.22439,8.20351,9.0861
439,15.83171,5.48387,15.83116,6.07667,6.21425
440,10.74907,15.73455,16.58827,15.29889,12.39437
441,19.47022,11.09283,14.05328,12.51476,11.11727
442,13.58321,8.45007,11.03925,8.77657,9.49793
443,9.13371,14.39004,10.55065,11.55141,10.44066
444,10.19301,14.9804,15.04789,10.43076,12.25738
445,9.86446,14.30401,14.53119,10.92274,16.43982
446,10.75841,17.49216,17.61301,12.1481,12.89804
447,9.89959,16.84149,9.36472,16.35723,11.85107
448,15.09222,12.28406,10.71852,14.89418,9.19264
449,10.67297,9.01277,14.61084,8.57881,16.30462
450,11.41302,12.37258,10.26118,16.61802,12.76671
451,12.61108,18.07969,7.37715,11.50484,10.6132
452,11.92922,10.29106,12.51255,13.12643,14.06044
453,12.10581,14.82793,12.84441,10.73605,13.26205
454,8.74244,17.00707,10.63136,13.14222,10.98524
455,9.27242,12.69854,10.73853,15.2271,11.01433
456,9.89627,14.54105,12.17583,13.18128,9.83849
457,9.19161,12.61181,9.7095,13.35813,12.43034
458,9.42205,12.34757,13.62042,12.00517,14.33772
459,8.40425,11.20948,14.64411,9.17118,14.79101
460,11.25626,12.84459,9.40119,13.72966,12.11441
461,8.29104,19.04027,12.39029,13.83563,11.16409
462,9.75635,9.5139,14.62369,9.57073,14.78057
463,10.15787,21.38674,10.85505,14.35715,8.81598
464,7.94133,16.43182,9.37653,13.90662,13.3093
465,10.53565,16.26581,9.3975,10.72995,10.48772
466,11.97265,16.75606,13.46841,13.74852,16.88121
467,14.93297,16.74773,11.60409,20.59417,12.34613
468,8.74332,14.74724,10.92762,14.39068,14.2616
469,14.3326,11.7125,11.03747,8.99917,10.78708
470,10.19724,8.14741,14.5205,10.26099,12.28586
471,16.99361,12.51521,10.81501,14.245,8.82232
472,14.878,13.44807,11.13963,12.79857,13.01783
473,12.9572,12.41976,14.23133,12.58051,13.62345
474,10.67087,11.74955,14.98433,14.43553,14.11882
475,12.58323,9.7516,10.35056,12.28599,11.61483
476,12.23329,7.74962,10.34948,10.82425,11.77462
477,10.53119,15.44106,10.47641,13.48809,11.72154
478,13.79755,8.56686,9.47257,13.45646,11.63442
479,10.85417,12.26115,7.88329,11.20954,12.96054
480,12.78536,11.58161,13.40922,13.5215,12.53626
481,6.27712,12.9316,10.16103,15.41209,13.23856
482,13.92614,12.66001,14.24133,10.69767,11.82256
483,8.23964,14.99001,12.82643,9.91818,8.00122
484,8.05666,11.26449,14.65334,11.95502,18.7765
485,11.4887,15.18443,10.56076,13.23188,13.55154
486,8.77435,13.62631,10.41316,11.70307,13.38835
487,13.48755,15.05622,14.80817,12.96678,7.28224
488,9.10751,10.92568,14.7987,9.90803,14.78191
489,13.67865,15.08833,14.6003,8.1668,10.80023
490,12.14153,13.18407,15.32306,9.88827,12.40455
491,10.4624,8.30657,16.12959,9.6426,12.52062
492,9.57055,12.90121,11.29402,12.49249,10.43737
493,14.97064,11.51081,16.671,8.55413,15.88824
494,11.13658,14.99812,12.14546,10.20032,8.88848
495,13.15319,13.81911,9.58828,12.31356,12.54149
496,13.37442,10.71982,13.52247,11.25152,10.54017
497,15.95311,13.53021,11.902,13.14302,10.87838
498,10.33414,11.91333,12.10892,16.77774,11.8341
499,11.46869,13.76758,9.26593,15.32738,12.86747
500,14.67656,10.95244,10.71633,11.85499,10.06321
501,10.54598,15.80891,13.149,16.44827,8.14855
502,10.6159,13.14258,14.02365,12.59462,17.46084
503,12.37735,14.74938,13.53693,16.08335,9.6901
504,14.05968,17.01569,11.42084,14.3262,11.17189
505,18.04652,9.80144,14.69827,7.28894,11.41861
506,11.13858,12.8588,14.59722,12.75668,14.30598
507,14.9498,9.46262,9.96704,14.83877,9.46092
508,13.06571,11.69292,13.4689,11.98747,16.36565
509,10.36997,11.2424,15.9153,7.81807,13.29859
510,11.66842,18.34802,13.27924,17.09887,9.65737
511,9.29052,20.55244,12.96932,17.50019,8.79708
512,11.51115,13.48665,13.37429,12.51728,12.7656
513,15.41461,11.20354,12.44608,10.88039,16.19803
514,8.79448,13.59088,10.26694,14.06958,12.17013
515,11.08091,16.2321,9.9521,17.62544,10.62053
