,p.android.gm,p.android.settings,p.system,p.android.externalstorage,p.android.documentsui
43,14.52943,15.1691,11.40365,14.49382,11.29107
44,17.32118,12.14662,13.47884,15.52213,8.92547
45,14.94254,13.12164,11.04826,13.63487,9.14926
46,11.90584,12.04236,9.59543,13.35698,13.21469
47,8.08104,8.07338,12.92008,9.24705,15.10424
48,11.7264,11.92738,10.87917,16.255,16.06499
49,10.05488,16.07096,13.37742,13.1314,14.79111
50,16.60427,13.85959,13.63345,12.48098,10.68906
51,13.49698,14.96595,19.29359,15.28788,15.78979
52,10.37973,14.42077,11.22648,15.36013,17.07394
53,11.57756,13.63382,14.3975,12.82946,11.28447
54,8.17046,9.79183,15.23693,7.31359,16.35198
55,14.52115,13.49193,11.21554,13.10812,15.76422
56,16.371867,18.75526,11.54335,13.55746,11.42881
57,11.5784,13.37052,14.7415,11.56629,13.48654
58,15.24208,13.92101,8.61971,13.97627,13.71422
59,12.80239,12.24437,13.76163,15.06088,14.00938
60,14.69623,13.95892,13.91844,15.29112,15.92711
61,11.61915,13.92459,11.55665,8.43453,15.01565
62,10.87919,11.43499,17.8959,9.07753,13.75827
63,9.75375,8.99216,17.26617,12.64974,11.70418
64,9.71721,15.80674,17.02242,14.81507,14.14933
65,9.65601,15.45399,18.16888,13.73351,14.17753
66,9.57554,15.76462,13.67752,19.50105,18.80731
67,11.6126,14.72019,18.60468,13.32897,11.7414
68,13.2982,10.13594,13.27969,14.65081,17.26893
69,11.09155,14.10317,14.67928,13.66234,11.83013
70,10.52782,13.00498,8.76105,7.78981,11.00119
71,15.46278,12.76171,15.23893,16.41472,13.45458
72,18.19247,15.8603,15.97067,12.15767,9.98644
73,8.82007,13.90343,8.44255,15.35588,15.80241
74,12.46559,15.06593,16.23296,11.03428,16.21369
75,13.80981,15.6156,9.69042,15.58862,12.17079
76,11.38481,14.78116,12.4983,15.48485,13.24852
77,16.96249,14.16139,6.89274,12.22956,9.22739
78,11.26784,14.87431,11.99222,11.69009,12.95135
79,14.3702,15.542,11.83052,12.8818,13.34633
80,13.29471,14.00062,12.58639,15.95492,15.5337
81,12.64427,13.99706,17.59299,10.29087,12.73835
82,11.76815,13.32845,14.84,17.66949,18.44687
83,11.57005,14.67203,11.21058,15.26502,19.80665
84,9.72884,14.32235,11.69639,14.83479,16.15692
85,10.26584,10.33435,15.67273,12.20685,17.14704
86,13.06129,13.31577,11.26226,15.54441,8.90069
87,12.03781,15.17769,17.30001,17.43943,16.3657
88,16.16884,15.63369,14.02327,15.68001,13.19921
89,7.46794,6.98499,12.56176,10.97413,14.62812
90,11.64768,12.93552,10.7182,13.79273,15.67921
91,8.05353,17.3776,13.89414,13.0692,13.8617
92,14.29237,15.82011,10.24512,15.69414,14.00968
93,10.88156,9.51101,15.6065,12.40491,18.43663
94,11.24163,13.01386,10.91938,14.47688,15.54278
95,11.22603,15.00355,15.87508,12.72905,14.69152
96,10.29002,17.90196,18.28589,14.02162,13.73735
97,13.37762,15.11351,9.63998,15.78686,12.64107
98,15.48638,14.49307,9.77239,15.78741,9.58612
99,15.50406,12.81159,14.22587,14.86511,16.08057
100,10.07777,14.93823,8.57082,8.16703,14.90676
101,17.65425,18.84264,12.28114,16.66923,10.36206
102,16.371867,17.11255,12.0352,14.23593,14.35832
103,15.46732,13.50334,14.39301,17.79996,9.40251
104,15.48204,16.60226,8.64203,15.80268,10.50574
105,9.32148,11.05058,12.93511,10.85004,15.93697
106,12.24957,13.0159,12.20385,14.42575,15.01198
107,11.12973,6.36217,17.94842,14.12522,14.55816
108,12.61016,12.91039,9.85443,14.77402,8.00359
109,13.03127,15.22987,12.40466,9.96802,12.77763
110,13.49574,15.92034,7.50244,10.92941,13.58826
111,11.19336,14.98385,15.11701,16.42455,16.41282
112,13.76961,14.49133,11.14006,12.44172,16.23267
113,18.34343,15.24248,12.15822,13.64394,14.81675
114,12.28756,13.6581,8.90955,13.06749,15.45733
115,12.58713,12.59113,7.59796,13.66633,9.68705
116,14.49038,15.30368,10.19183,16.88591,12.05466
117,10.62747,12.4626,10.17531,14.06291,14.78811
118,11.36861,13.97937,12.13782,15.18043,15.57137
119,12.28184,9.41444,14.30554,10.77073,15.62263
120,13.62627,13.06354,14.58985,15.4847,15.16575
121,10.06655,11.6878,12.74584,10.91439,12.56145
122,9.10045,17.54493,14.90361,18.08061,17.8014
123,12.25587,14.88841,5.46161,17.672,11.14736
124,7.4281,9.83929,14.48085,8.89429,12.35272
125,10.70306,16.10195,18.21807,14.99492,11.39175
126,16.26428,14.56356,11.43845,12.28338,10.349
127,8.12942,10.41949,12.57658,11.70492,15.00012
128,11.25357,13.68032,11.11402,10.75484,16.54849
129,13.29379,13.07543,12.47139,13.91117,17.82025
130,17.44979,13.5147,10.69072,15.68442,17.36524
131,12.50392,16.68629,11.52951,16.42367,13.67857
132,9.34982,17.37032,14.49838,14.28038,13.19929
133,18.04081,15.88326,11.74029,13.56578,14.9645
134,11.4542,11.58408,13.47891,11.33383,15.54548
135,8.65969,9.17071,15.78973,10.97038,14.26587
136,16.30194,15.41346,11.45728,13.21627,6.96585
137,10.78155,15.66217,14.88396,13.08041,9.6512
138,12.94636,11.55194,16.5451,13.0027,14.73043
139,9.93364,9.87042,14.97558,11.04775,17.22334
140,14.88854,11.57867,8.63991,11.3096,9.3629
141,7.83525,10.95695,13.33228,8.73596,11.45108
142,13.03505,9.96138,17.21253,13.00077,14.76873
143,10.62236,8.92958,15.22116,10.98708,15.63582
144,14.52122,14.45689,13.26125,16.68584,12.31343
145,13.83518,13.37897,10.10295,16.5856,10.65666
146,9.52604,12.06264,11.38068,9.29738,14.87726
147,9.96687,14.94417,12.21794,17.08452,19.61384
148,12.54064,11.49644,16.30096,9.0705,14.18585
149,16.20355,12.88636,13.97311,15.67918,16.44149
150,11.29269,13.566,15.71934,12.42693,14.35398
151,10.84194,14.84337,13.86875,15.46064,16.17319
152,16.4039,16.41298,11.09583,13.97092,11.74248
153,10.4395,14.21805,13.76075,13.43259,12.65138
154,11.04361,16.56192,16.57803,15.35523,18.49806
155,16.30949,17.11324,11.75784,15.75093,11.18666
156,11.69587,15.15171,16.39313,16.37971,18.46835
157,11.25704,15.57366,16.95763,15.19435,18.68375
158,9.97277,16.09496,15.74751,14.43304,13.65898
159,17.65741,15.90366,14.8173,14.67299,10.30656
160,14.36757,14.84852,11.0039,16.26937,13.22244
161,16.50043,16.00997,11.67176,16.86829,11.15944
162,15.62633,14.82507,9.91545,11.78113,9.22751
163,13.13104,13.48409,14.56071,14.28506,16.53784
164,8.81839,6.90752,16.07997,10.27875,12.40936
165,14.39788,11.94542,17.11467,14.5082,12.08517
166,15.44377,12.74609,16.69193,17.17165,15.48443
167,14.33826,10.95834,9.40463,12.28997,10.44939
168,9.73526,8.82858,14.69952,11.06692,14.8827
169,13.66301,17.03577,7.90264,15.86846,10.99095
170,12.38959,14.05348,13.78857,11.01567,14.63116
171,18.05391,16.46769,12.52001,12.88194,8.48649
172,7.43432,8.08073,15.94163,9.6806,15.25771
173,9.5659,15.47226,13.21394,15.68288,15.00307
174,11.42574,14.11448,17.41206,12.51898,12.69684
175,14.2421,14.2284,10.66317,15.56319,16.51636
176,10.83166,12.24473,13.92551,13.62529,14.0995
177,11.03698,15.40442,17.46225,13.23101,10.48205
178,10.19692,9.96092,14.34914,10.06673,13.5598
179,11.55603,16.31321,15.95077,15.61619,16.24877
180,10.43915,10.20536,16.28305,12.52295,14.93389
181,10.59585,8.96318,14.1185,9.91366,14.05622
182,17.44794,13.81338,13.93869,16.1726,13.11984
183,9.58658,7.32373,15.12473,12.30022,14.70945
184,7.76948,16.18149,12.7563,16.3969,14.971
185,10.11062,10.58822,13.8971,10.44005,15.14886
186,8.63641,6.88322,17.7396,10.10952,12.71713
187,12.02928,13.41543,17.83196,11.27539,12.57095
188,14.62321,16.10712,9.8034,13.93132,13.10054
189,14.03109,14.00688,12.42511,13.63629,10.46604
190,9.54584,15.09519,14.14262,14.4688,9.74043
191,9.52633,6.85053,17.39851,10.75671,15.91351
192,13.17828,18.756,8.96754,14.41834,12.64839
193,12.7985,16.22113,10.57876,14.71861,11.07225
194,11.32876,17.25543,15.84315,12.32067,12.98205
195,10.83659,11.32572,13.86515,15.82108,18.89338
196,11.66458,11.90907,14.43349,14.12902,13.51817
197,15.31017,13.55298,14.43406,12.36217,13.98089
198,8.75306,15.01451,13.03374,13.74105,14.1162
199,10.34211,11.45247,13.60219,15.99331,14.22009
200,10.83361,16.05181,19.278,14.5666,11.4884
201,9.07204,15.42452,13.14182,15.66801,17.12719
202,14.64569,13.56061,8.98297,11.95267,13.22266
203,14.34783,15.39415,11.54093,14.58697,13.8066
204,11.07602,14.65493,13.87697,10.607,12.7595
205,13.402,14.56741,7.06109,15.09718,12.90287
206,12.585,10.78553,20.06491,8.97377,10.64713
207,13.61393,16.41193,11.57804,16.22637,13.1277
208,11.51113,14.36285,14.44398,14.15169,14.36002
209,10.39759,16.13379,14.61119,14.6627,10.46079
210,6.26475,9.17408,15.95986,6.6627,15.54888
211,10.07931,6.51329,18.24541,10.98621,16.45614
212,12.44591,14.04371,11.10653,17.80641,10.47291
213,15.30333,11.81352,12.3447,14.1013,11.88209
214,15.72983,14.31828,13.37718,15.6979,11.89748
215,16.11559,14.43485,8.25473,13.46456,14.11276
216,14.20725,14.64182,13.60034,14.21778,15.8897
217,11.86528,13.95786,16.6727,13.13618,13.13295
218,16.10831,16.44699,11.44854,14.47672,10.76986
219,12.7016,9.68762,10.91756,13.97175,16.32842
220,8.89665,9.16903,12.2883,8.42419,15.74937
221,10.86684,9.53049,13.20439,11.90901,14.55103
222,13.33453,13.43978,5.6723,15.27029,12.64212
223,13.1828,12.6509,13.50195,12.99332,14.70098
224,10.15731,18.30964,18.98902,16.39801,14.88083
225,9.16753,14.66866,12.74237,13.32342,15.3219
226,9.52352,7.38106,16.36361,11.75284,12.21908
227,8.96026,13.82606,10.88455,14.17766,16.23542
228,17.65173,17.32424,13.19947,16.41802,14.87754
229,12.45551,14.19129,13.6026,11.03005,14.16635
230,13.01227,12.43035,14.17007,11.71193,17.42529
231,9.83249,10.41389,15.41613,10.18689,13.5719
232,10.73179,14.29971,13.02667,16.69621,11.14644
233,10.00656,17.02902,15.06829,15.30466,13.15347
234,13.2299,10.30014,13.83192,16.23249,16.75875
235,9.51899,11.28955,9.75565,15.39658,12.74965
236,12.52871,13.43137,15.79161,11.45017,12.25195
237,14.83726,11.49019,10.24476,15.76047,11.68143
238,11.47616,13.73479,11.5041,15.43144,17.30418
239,13.99518,13.9143,10.27258,14.01807,11.87362
240,10.70859,14.40393,18.60206,13.1725,10.14575
241,14.56516,15.4959,14.80534,8.62019,11.62952
242,14.94775,14.78126,11.00894,14.72456,7.6508
243,13.54866,11.25142,20.77415,14.67237,13.39879
244,13.79504,14.06751,8.77084,13.78974,15.34918
245,9.7933,11.90145,16.006,10.22941,14.26549
246,11.87466,14.85841,16.15817,13.45797,13.86129
247,9.57756,16.90306,14.17965,12.16063,15.21291
248,12.17248,15.08484,14.6921,11.15605,11.27592
249,9.48209,13.13627,12.13976,15.64248,10.64937
250,10.4756,16.56268,14.05786,11.98545,9.75548
251,11.48089,10.65733,13.54615,9.49324,13.2378
252,13.88433,13.78174,17.67475,13.37578,12.2256
253,12.78203,13.31175,9.38874,13.92789,11.31248
254,13.47578,16.59117,14.10119,14.80253,18.0311
255,12.42819,13.409,13.63233,15.70649,21.17784
256,10.91222,17.48682,15.79659,12.04105,13.68982
257,16.26239,14.94523,12.67365,16.84811,11.96978
258,12.95884,14.41274,12.54173,13.82551,12.77532
259,15.85827,16.62334,13.01167,17.6503,12.30099
260,12.66645,13.03572,15.22465,12.26972,14.06778
261,12.49483,13.52305,11.30086,13.65497,12.56054
262,14.90687,12.62421,11.86521,16.19861,15.24423
263,14.53858,15.36641,9.7299,14.10811,12.29294
264,15.6739,16.79636,14.00248,11.48883,9.21285
265,17.48549,15.23073,10.41686,14.34911,16.053
266,14.9534,13.99109,6.38389,11.34891,17.32277
267,14.30669,16.2747,11.58691,15.44625,12.52268
268,15.22918,13.45419,9.97103,11.87188,9.17909
269,10.44625,8.82692,20.44484,11.83061,14.95555
270,10.97218,10.07623,15.87432,13.58377,15.15198
271,11.38817,12.27355,13.36103,11.86612,16.6558
272,12.63067,7.71347,19.02845,12.05231,13.94033
273,14.53253,12.38571,8.97817,16.0519,8.85224
274,14.78186,13.57341,9.28009,16.74913,10.58174
275,8.95096,11.4879,14.97537,8.92747,9.84471
276,16.09976,16.20699,7.98361,14.00951,15.34841
277,9.93285,12.2325,13.36182,12.99071,10.55181
278,10.51183,9.5192,14.32493,10.31279,18.99172
279,14.75814,16.4083,17.52164,10.54276,12.65271
280,15.17694,14.27673,12.39816,15.86547,9.68117
281,15.46352,12.69784,7.86123,12.01772,9.35181
282,10.78142,10.8401,12.97997,11.32628,14.12435
283,15.03082,13.23181,10.80078,12.61807,12.26166
284,11.73426,15.94649,15.69568,13.02422,13.81892
285,14.14811,13.61343,10.95003,15.53051,16.72739
286,15.56511,17.35329,11.00214,11.13282,9.57419
287,11.96205,8.83156,8.38586,14.34009,14.8939
288,10.86451,13.71685,12.26275,14.39211,15.29592
289,8.38409,15.9112,16.28155,17.2193,14.63451
290,12.98391,13.77939,8.46207,15.63099,11.07407
291,10.03993,13.46149,11.35548,9.69658,12.28745
292,11.03093,13.05156,12.37025,9.38396,14.39431
293,14.25997,16.72411,12.62858,17.27266,11.87276
294,9.93559,15.46103,15.72592,15.61919,16.48935
295,13.46066,14.53262,8.10429,14.90599,13.78054
296,12.62499,12.89868,11.11935,12.41852,12.74349
297,7.83371,8.18502,12.34749,8.44442,10.09953
298,15.94414,15.56855,15.54392,15.88392,9.55164
299,9.66164,9.82171,18.32584,9.0527,13.91648
300,9.94142,19.31752,13.70308,14.53167,13.16176
301,12.91345,10.88409,12.71091,13.41978,16.44979
302,10.42171,14.89112,13.25263,16.6679,19.06699
303,10.87161,8.52964,9.89418,10.70375,19.36834
304,12.1658,15.26889,15.16321,14.55529,15.25761
305,14.30121,13.48593,11.53463,16.41599,8.76916
306,16.46367,15.99218,7.13374,12.32663,13.26886
307,13.59257,13.90352,10.51101,16.08226,12.47432
308,10.82285,18.74509,18.08633,14.84963,16.59467
309,12.79175,12.16216,16.0679,16.2143,15.05311
310,14.09729,11.46562,11.5809,10.87211,11.24083
311,13.59095,13.18899,18.48656,12.81434,13.15135
312,12.36188,13.29098,17.5623,10.45029,13.28348
313,10.75067,9.89693,14.7109,10.82603,12.06446
314,10.58124,13.93619,13.6167,17.06934,14.69891
315,12.10344,12.14554,11.42076,14.26987,14.69319
316,15.19726,16.18933,9.77941,14.89273,14.21231
317,8.6095,7.29035,17.25684,10.25087,14.45654
318,12.20607,13.37172,15.24293,13.98601,14.16395
319,9.68636,15.97221,12.35527,14.20652,16.51826
320,15.80953,16.86792,8.48084,14.85145,11.27193
321,9.66491,16.52521,14.02548,13.68819,15.92915
322,12.45632,11.1938,13.21337,11.92912,17.26418
323,13.78773,12.70311,9.64961,16.17123,10.95772
324,13.56161,11.59927,13.74947,14.42588,16.73168
325,13.85364,15.88927,16.96738,13.33182,10.01913
326,9.41724,12.06993,8.25531,13.92014,13.51902
327,17.44619,17.27038,8.21803,15.62184,15.19979
328,14.54907,14.24048,5.38275,13.79457,13.06505
329,14.35632,13.60612,11.4269,14.00724,7.70335
330,9.73409,15.54528,10.1016,15.3938,17.67605
331,12.80065,11.97697,14.7787,10.51833,14.33928
332,9.9428,12.09993,15.46907,8.87599,12.43879
333,11.00912,13.25692,16.04081,15.56902,14.11521
334,17.13123,14.89799,13.7378,13.23455,11.77914
335,11.24254,12.16246,13.87415,16.00816,14.418
336,15.71229,18.18929,15.20181,12.26099,10.678
337,15.83787,17.65775,15.65618,11.2367,10.83082
338,10.43346,11.10501,12.29251,9.14551,13.71803
339,9.64488,7.21662,16.5931,10.13589,15.87189
340,11.83854,13.41647,15.88822,10.25509,9.81778
341,13.57273,11.2181,11.32621,11.66494,11.57035
342,13.57873,12.01239,10.57337,12.95623,13.25808
343,9.58403,13.26413,14.52579,14.9308,12.64457
344,9.96847,17.44524,14.73281,16.04903,16.44696
345,11.64349,12.57878,10.74366,11.49193,15.63125
346,12.95875,11.59739,8.34535,12.44308,17.34306
347,12.31395,11.81,12.19367,13.89138,12.76822
348,11.98787,13.35854,10.17331,12.43024,18.60967
349,14.70993,16.30312,13.57898,12.62264,12.32772
350,10.78816,17.52805,16.86146,14.95502,7.99518
351,13.1638,15.42353,12.82008,13.49805,13.77881
352,13.68156,9.57946,14.69202,12.05004,17.39291
353,10.2041,11.53209,13.09254,10.63567,14.8152
354,15.23035,13.91895,13.74075,13.49925,14.34484
355,14.48826,15.89947,10.40222,12.99054,15.29639
356,13.99353,12.06873,15.19137,10.58983,13.83911
357,12.91467,11.30063,14.97923,10.24088,11.38831
358,12.91317,12.04731,12.71195,11.86732,17.1677
359,13.18632,9.78447,15.1318,9.9825,16.14957
360,9.81187,17.2652,18.17655,12.92097,12.74736
361,11.13006,12.77602,15.25507,11.62476,9.53559
362,6.86914,19.16555,18.18353,11.79281,8.79961
363,16.27355,12.0648,11.37141,13.12424,17.5013
364,14.3879,14.97843,7.64464,13.12626,12.716
365,14.98995,13.73046,14.66663,17.43275,12.5143
366,11.73563,13.44867,14.06556,15.76864,17.69917
367,16.32397,17.03455,10.30584,13.93836,12.08607
368,9.01332,7.09613,20.88301,12.53594,13.40129
369,8.56303,11.51885,11.0442,8.94787,14.90468
370,10.2685,15.55797,16.92095,17.71809,16.74772
371,11.59458,9.59911,15.04787,10.18621,12.64762
372,12.76334,12.85473,19.22513,11.43072,11.70099
373,10.82955,13.45579,14.48608,13.79304,12.97452
374,13.28188,15.427,12.26553,16.16751,11.7778
375,7.49712,18.79392,15.60269,14.64945,9.3126
376,8.93364,11.14467,12.85932,10.84979,14.13478
377,14.31491,16.78905,11.42754,17.34958,10.70206
378,15.48515,13.45646,11.10405,13.67977,14.18825
379,10.63346,13.94036,12.17986,16.94174,14.83152
380,13.14042,15.8977,12.60219,9.66314,14.62459
381,8.83806,15.08889,15.77237,15.45086,13.40083
382,14.32421,15.84128,9.16963,14.73281,11.21117
383,10.85257,13.77788,14.41467,10.73437,14.97983
384,11.5203,13.99644,15.62455,15.44811,14.61646
385,10.83082,15.28696,17.1618,12.64264,11.75062
386,10.39997,15.7965,16.30991,13.58135,17.73514
387,11.72583,14.80929,15.80673,14.90366,16.5276
388,9.64208,8.95131,13.907,10.87551,15.60311
389,12.42721,15.74848,10.39245,17.84563,10.29729
390,14.02219,14.09344,16.40471,11.85045,12.24436
391,15.17674,11.25316,9.87126,12.17515,12.90996
392,9.66694,16.90247,14.9897,13.03454,15.83973
393,12.2004,12.7689,13.86709,15.48653,15.14696
394,15.46374,17.50552,11.083,11.44969,13.90277
395,11.11514,12.21544,13.23316,12.20594,13.06026
396,11.14397,15.73486,11.2453,16.25365,18.39527
397,13.54039,14.28644,15.97473,15.84303,17.99689
398,10.91761,12.7812,12.88532,14.11493,15.0692
399,15.77728,14.70046,15.26809,12.09354,7.7839
400,10.28021,14.14586,10.59906,7.90753,16.94581
401,9.72212,8.83523,13.40221,10.82648,14.70872
402,13.49636,16.19846,10.9158,14.68518,13.03246
403,10.2502,15.415,12.6096,12.77417,12.80893
404,11.93533,14.52661,14.54428,12.05374,14.71479
405,14.41986,14.44559,8.96461,12.81935,14.87886
406,11.78326,13.56658,13.00218,14.80322,13.1335
407,11.11501,16.07378,16.39403,16.94972,16.96499
408,15.32952,13.81912,13.85387,13.46248,16.76336
409,15.56016,14.17571,14.01738,12.94456,9.82869
410,12.6278,13.61964,12.39177,9.55135,16.9052
411,14.63225,14.49519,12.55379,14.60268,11.87416
412,9.2174,10.29547,12.97282,8.0496,14.01072
413,9.6032,16.22773,15.14326,14.03653,14.19529
414,14.76159,12.95602,16.3997,11.00719,11.58277
415,13.09798,10.84599,18.44173,10.82668,15.06148
416,9.56143,12.1818,11.71684,7.19407,13.52092
417,13.0564,10.13016,11.69644,15.82925,6.57942
418,10.2657,14.34759,13.68202,12.30579,14.63724
419,11.03699,12.97846,11.15224,14.0059,13.67045
420,14.0469,18.2735,10.1794,16.99987,8.94199
421,13.0583,10.10369,8.56302,13.76939,17.80271
422,11.41095,9.5492,13.27484,11.89637,16.2985
423,10.83208,13.37968,12.33158,9.13868,16.69103
424,11.74248,16.32695,15.49702,14.14577,13.97894
425,15.6799,13.96944,11.57795,14.3787,9.64122
426,10.92325,10.36314,15.53049,14.02388,14.77285
427,12.63888,9.81466,18.59318,15.95687,14.84251
428,11.76072,10.22881,16.82624,12.58101,16.61689
429,11.25937,14.9318,15.63191,13.9088,14.63914
430,9.96745,18.20237,16.15871,16.23132,15.66181
431,9.4142,10.26,14.95862,8.84232,13.75405
432,15.34453,13.26484,13.3457,13.48013,9.16042
433,12.06922,8.61762,18.01664,12.39241,14.59944
434,15.27745,13.7983,14.90601,14.25202,9.90213
435,12.29062,15.52639,11.66864,15.34422,14.13421
436,15.10756,15.83057,14.61122,13.71252,10.8801
437,11.69544,16.44609,10.71661,15.26816,11.91979
438,11.0524,10.88626,10.99498,11.25582,13.48414
439,13.06834,9.27052,13.55117,12.41399,14.82071
440,14.77298,11.96248,11.54712,16.12729,8.57238
441,14.86088,16.02233,15.36779,13.03402,13.50555
442,10.83682,10.03786,11.15263,11.41626,15.10386
443,10.13978,14.11282,15.47322,13.38693,10.6372
444,14.19485,15.46944,11.41463,16.25385,12.72782
445,13.1346,15.4239,10.08823,16.51534,12.1074
446,14.93966,14.67976,12.56363,16.67713,11.60642
447,11.01422,12.01729,14.10562,16.22851,12.75969
448,13.85409,13.41116,15.26271,12.52645,12.69044
449,12.95583,10.85299,11.46948,13.74542,14.59106
450,9.33873,19.43301,17.35187,15.45012,11.28411
451,11.32722,15.01481,14.90003,15.30148,17.41473
452,16.53346,12.10565,10.92252,13.87623,17.66022
453,13.78493,14.65836,9.31497,13.61682,10.1323
454,11.44343,13.80055,15.66976,15.70633,17.26409
455,11.27723,13.97531,12.48957,13.97949,12.64104
456,8.99635,15.10104,11.72362,12.54154,14.22803
457,9.0983,14.61784,15.9714,13.35716,8.15153
458,13.65969,13.388,8.54638,12.87442,15.33904
459,14.53763,13.41046,11.20945,14.94665,15.56014
460,11.65834,14.72949,15.72369,13.98473,12.95817
461,16.92785,13.61107,7.88644,12.58365,9.31035
462,13.6984,13.35772,12.12523,14.06733,15.30178
463,9.01351,14.54521,13.80663,16.4913,18.05734
464,12.2805,13.1444,14.51274,13.46853,15.04985
465,11.72778,11.67442,16.004,12.99946,14.48462
466,13.52604,15.12085,14.02566,15.97653,11.65243
467,10.78757,19.29209,14.70025,18.2743,21.08957
468,11.38868,14.64541,16.30291,12.37929,15.93451
469,10.20854,10.10011,15.40263,9.34238,13.27656
470,14.79852,15.20876,9.67093,14.00381,14.48407
471,11.96168,11.55622,14.17218,10.61576,14.636
472,11.42061,12.19503,16.20886,12.00786,11.81982
473,14.36925,16.5883,10.32214,15.13052,8.73636
474,13.24739,15.2857,10.63945,17.09817,11.17897
475,9.05096,10.81532,11.10634,10.20774,18.56743
476,9.56689,9.81227,13.19606,7.69089,16.48337
477,10.17178,15.5335,16.98052,16.10141,11.73972
478,11.54822,12.18928,13.23207,11.00181,16.37861
479,8.88443,12.95876,13.10119,8.0348,12.69334
480,14.03788,15.67678,14.86323,17.71673,12.19155
481,9.80034,16.09344,15.43439,12.32245,10.97115
482,13.35392,13.89163,10.32023,15.91633,12.29966
483,15.15251,14.35509,10.04453,12.37602,13.17515
484,17.28236,16.12245,11.52248,11.30214,14.75151
485,12.05706,14.80326,16.93469,15.54367,13.77721
486,12.05716,14.19102,15.6149,12.35054,13.69079
487,12.0679,11.52263,12.47736,14.42675,15.21723
488,13.7984,14.47617,9.50295,13.34823,15.02918
489,17.01188,17.47979,13.5554,13.43316,9.51149
490,10.50967,11.99476,10.23866,15.94695,11.3537
491,13.71629,15.23609,10.38839,14.08481,15.51208
492,10.23942,16.02804,14.23338,12.69694,14.66208
493,10.71923,13.37067,10.36364,15.04522,11.62924
494,12.56263,12.45347,13.15032,14.12289,15.43189
495,8.92843,10.1408,16.56131,10.90862,11.69141
496,12.83106,12.17199,15.44317,12.66803,12.24774
497,12.74369,12.48654,15.47423,15.81817,14.67936
498,8.71341,16.15062,14.77274,15.29852,12.53059
499,10.62448,15.17303,18.52904,14.71845,11.14192
500,11.20609,13.79999,11.25068,9.8402,16.05672
501,10.70885,12.48317,12.02965,16.39251,14.6464
502,16.81306,17.03735,12.58886,14.71618,12.04941
503,9.98821,16.03388,13.13616,14.5499,15.988
504,12.64802,13.57711,14.45594,16.09302,17.50956
505,11.24662,9.70829,17.18432,12.26441,12.7159
506,16.80615,17.40461,9.33025,15.14984,12.22477
507,13.8014,12.73433,14.06141,9.79457,16.63461
508,16.6002,12.43733,10.85373,14.18353,14.51489
509,15.60218,13.93975,5.70258,11.97251,15.73534
510,10.16366,13.79393,12.89689,18.24145,17.96331
511,9.85981,12.3967,11.7545,17.8814,17.94665
512,14.93385,15.25473,10.49655,16.40895,15.78968
513,13.62688,16.95813,9.20306,19.35046,11.90816
514,11.8983,13.25759,14.3465,13.00507,14.04994
515,12.946,11.13709,14.1258,17.56247,15.72082
